date,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-09-12,1387,1614249539,23756,589878977.4243262,0.00221177,1.3047140533625038e-05,5.9999999999999995e-05,3.539375396255046e-07,837.051145,4.937730380033524,538.484801981328,391.6325545165689,9.706907071887782e-06,0.00589895899375841,-22.234290792667235,-3.7561346064511807,99997131366.47792,99997131366.47792,13213253713.930664,378453,25642,185700935.28831905,1095442.202368378,7300.8722521,43.06754603380651,600.0,3.5393753962550463,187208966.288319,1104338.0153986944,0.03474026183384421,0.016624876470409264,0.027209477781074683
2016-09-13,1388,1614249568,23667,591083686.3280442,0.00211805,1.2519807266612064e-05,5.9999999999999995e-05,3.546603885634068e-07,806.344471,4.766307390013577,695.9132255664031,396.2207671336523,9.710960841613091e-06,0.00591100647605678,-19.14526999105589,-0.93156300338122,99997130560.13344,99997130560.13344,13233717419.98552,380701,27284,143691953.086171,849364.0652496036,5278.22753578,31.199637146096805,540.0,3.191943497070661,144011160.086171,851250.8998938065,0.03473195386474172,0.015911915868081158,0.027116399486682336
2016-09-14,1399,1614249598,23775,608440151.6807935,0.00197763,1.2033040356791256e-05,5.9999999999999995e-05,3.650745697665768e-07,866.358157,5.27142219050899,986.971166457884,629.6616996013188,9.984321449444772e-06,0.00608457616277628,-18.328466487608992,0.05412778663241523,99997129693.77527,99997129693.77527,13233716553.637363,438080,17422,101317174.292591,616472.063580549,5922.39578077,36.03526819419996,600.0,3.6507456976657684,103179979.292591,627806.4424794493,0.03479749871104474,0.016421632131485203,0.02706144495699269
2016-09-15,2595,1614249626,23717,874204672.1921434,0.00351168,3.0700152560744095e-05,0.0001,8.74229786334293e-07,2410.141386,21.07017388918217,84.03817951592801,819.5966344694586,1.4400800701344232e-05,0.00874229786334293,21.36421551957445,42.19801543047205,99997127283.6339,99997127283.6339,13234470326.616152,686321,24785,1189901159.9207838,10402470.36796474,48034.20520156,419.9293295009737,100.0,0.874229786334293,1190527775.920784,10407948.431682676,0.04409738642478293,0.06820747306992075,0.054124927898223235
2016-09-16,2212,1614249658,23720,721265561.2517297,0.00237114,1.7102707923200217e-05,5.9999999999999995e-05,4.3277177871910256e-07,2232.666263,16.10391583207736,58.746622135654,602.9661859485486,1.1867039450613686e-05,0.00721286297865171,-1.1202482576844814,19.09731407746834,99997125050.9676,99997125050.9676,13234500613.999895,941600,46700,1702176591.8738494,12277566.522654427,36463.19676389,263.00404202155494,100.0,0.7212862978651708,1702831288.873849,12282288.76240796,0.04637552088274451,0.07763417250390285,0.059804649591675536
2016-09-17,1350,1614249689,23754,698424206.4147773,0.00183672,1.2828466034017182e-05,5.9999999999999995e-05,4.1906657631050526e-07,1076.477649,7.5185967140201955,497.492797437209,583.5776398700323,1.1499269433080064e-05,0.006984442938508421,-4.416399208453294,15.499573260388186,99997123974.48994,99997123974.48994,13234499537.52225,586088,2176,201002154.18115896,1403888.0763955764,92694.02765678,647.4161469093011,4000.0,27.93777175403368,201702204.18115902,1408777.5356746796,0.0464047956056573,0.07793548136258277,0.059929050536516475
2016-09-18,1198,1614249721,23902,685281153.8418624,0.00200254,1.3723424089438945e-05,5.9999999999999995e-05,4.11180523418427e-07,1327.048209,9.094272952968437,38.577358225835,496.22265354694053,1.1206269433080074e-05,0.00685300872364045,-6.2639592330464335,12.354761338743982,99997122647.44176,99997122647.44176,13234498210.474035,662683,25554,2592119503.415721,17763817.569626495,101450.1214454,695.2385672797093,4000.0,27.412034894561803,2592456403.415721,17766126.34826548,0.046412424550253226,0.07805189080447457,0.05997519006647525
2016-09-19,1280,1614249751,23477,680858156.4681296,0.00223888,1.5244035946109625e-05,5.9999999999999995e-05,4.0852665474102117e-07,1495.126964,10.179986950266988,781.465071550423,499.8987343230803,1.1182621858562253e-05,0.00680877757901702,-4.382634375103359,11.276102588000887,99997121152.3148,99997121152.3148,13234496715.347069,667802,17018,127961088.46416,871258.590121386,7521.417820199999,51.21166101659683,100.0,0.6808777579017021,127999488.46416001,871520.0471804201,0.04637486887339839,0.07807479102268014,0.05995387668665896
2016-09-20,1283,1614249779,23968,676229811.8627868,0.00181956,1.2304761556756997e-05,5.9999999999999995e-05,4.0574957319649796e-07,1273.3544029999998,8.611050092418857,1423.374320801839,511.83507483599914,1.1115724722384578e-05,0.0067624928866083,-5.361855948144262,12.207836178448948,99997119878.96034,99997119878.96034,13234495441.992636,699814,21191,70253564.65798001,475089.231258466,3322.88540692,22.470988927311023,100.0,0.67624928866083,70415264.65798001,476182.7263582305,0.046343241191449926,0.07802067080289811,0.05980605746260684
2016-09-21,1296,1614249810,23630,681287121.015438,0.00180169,1.2275035619747811e-05,5.9999999999999995e-05,4.0878405118797844e-07,1248.3977320000001,8.505418039680736,828.606270378662,517.9207609796913,1.141321040327293e-05,0.00681306751979964,-4.178684091366332,14.870834387765866,99997118630.56264,99997118630.56264,13234494193.5949,692904,23049,120681102.96204402,822208.5028442984,5343.63759651,36.40656374636249,100.0,0.6813067519799639,123165502.962044,839134.8877904885,0.04634560528230642,0.07793242987696332,0.059760921316584885
