date,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-12-22,20,1614335542,1426,1767058.860027613,16.207854118677,0.003182248025069498,15.0,0.002945098100373255,8330.837017,1.635675484885726,0,0,0.0,0,0.0,1575.45045808,885.1244936334698,4.510777323202804e-07,0.00019633987335821698,0.0,109.09831326651054,8999999999,514,32,5712651.865905,1121.6213438913694,178520.370809531,35.05066699660526,9950.0,1.9535817399142592,5712651.865905,1121.6213438913694,0.08378550497829229,0.13089423853546855,0.11308793805676068
2015-12-23,21,1614335543,1433,1832636.109825593,21.069248217241398,0.004290251677120594,15.0,0.003054393516715365,6110.081983,1.2441729863649709,0,0,0.0,0,0.0,495.02060138,900.881566600912,4.599999999999989e-07,0.000203626234447691,0.0,96.1725418865552,8999999999,290,30,18181061.503139,3702.141092146072,606035.383437967,123.40470307153575,100200.0,20.40334869165864,18181061.503139,3702.141092146072,0.08374234297273772,0.13013863659667138,0.1131214321121919
2015-12-24,12,1614335543,1434,1598169.7739311336,90.88509304,0.016138867623731745,121.99053899999998,0.021662399128558843,2272.1273260000003,0.4034716905932936,0,0,0.0,0,0.0,446.44497005,780.7867823753974,3.8952119120428316e-07,0.00017757441934541202,0.0,68.17790338409175,8999999999,25,25,20159259.489478,3579.7687982775424,806370.37957912,143.19075193110166,399985.0,71.02710412187461,20159259.489478,3579.7687982775424,0.08420858574622009,0.13335476864919646,0.11466070839800326
2015-12-25,10,1614335543,1432,1681602.4671363584,55.5120672666667,0.010372136586870926,36.530107,0.006825457562531177,832.681009,0.1555820488030638,0,0,0.0,0,0.0,1451.92456971,822.295882022182,4.1000000000000036e-07,0.00018684471859146699,0.0,72.17392517744341,8999999999,15,14,6198669.122884,1158.1885879068764,442762.080206,82.7277562790626,64774.25215,12.102726914939474,6198669.122884,1158.1885879068764,0.0842234477779317,0.13348481293729592,0.11433266691535597
2015-12-26,17,1614335543,1429,1467957.5756142125,27.896544,0.004550104789200589,12.0,0.001957276767703092,613.723968,0.10010230536241299,0,0,0.0,0,0.0,3062.24242439,723.4482750625281,3.899999999999989e-07,0.000163106397308591,0.0,45.2973066680614,8999999999,22,20,2939022.700268,479.3734042488803,146951.1350134,23.968670212444017,14468.774564,2.3599496926042196,2939022.700268,479.3734042488803,0.08482149495680928,0.1363605269857376,0.11562584635073125
2015-12-27,10,1614335543,1434,1331523.5675463846,45.3567164166667,0.006710392984668903,26.0,0.0038466236400058478,2177.122388,0.3220988632641071,0,0,0.0,0,0.0,949.08552644,654.9712175889348,3.500000000000001e-07,0.000147947063077148,0.0,52.75080164052118,8999999999,48,48,9482812.400189,1402.9542443195232,197558.591670604,29.22821342332338,34201.5871765,5.060024375340222,9482812.400189,1402.9542443195232,0.08500998234939064,0.1346310069593217,0.11638427690148835
2015-12-28,14,1614335543,1423,1250527.0522806935,54.23810228571429,0.0075362460200210325,17.7210985,0.0024623014525381247,759.333432,0.10550744428029443,0,0,0.0,0,0.0,1183.42652578,661.2001995715829,3.3000000000000055e-07,0.000138947450268849,0.0,34.828059287027564,8999999999,14,13,7605034.873677,1056.7002049030973,585002.682590539,81.28463114639219,23209.08,3.224842489085737,7605034.873677,1056.7002049030973,0.0846575974374452,0.135026687600134,0.11404891389719694
2015-12-29,9,1614335543,1429,1461973.4270042935,16.2664884471831,0.0026423526514551517,15.0,0.002436622378611225,4619.682718999999,0.7504281530132634,0,0,0.0,0,0.0,3419.53270641,800.2999615174783,3.7659731041320655e-07,0.000162441491907415,0.0,56.07648750325775,8999999999,284,7,2631938.563457,427.53602685661366,375991.22335100005,61.07657526523053,56917.0,9.245682394894338,2631938.563457,427.53602685661366,0.0854422455290217,0.13764176091811836,0.1152186232214766
2015-12-30,11,1614335543,1435,1459544.7259103032,17.1382113821138,0.0027793317818977175,15.0,0.002432574543454125,4216.0,0.6837156183468394,0,0,0.0,0,0.0,4085.41918152,869.2968223791215,3.806455920091612e-07,0.000162171636230275,0.0,53.11863045623864,8999999999,246,8,2202956.318342,357.25703068934473,275369.53979275,44.65712883616809,172396.60342200001,27.95783925748757,2202956.318342,357.25703068934473,0.08543676655463524,0.13767347172645705,0.1146006495389442
2015-12-31,14,1614335543,1433,1366521.763382751,15.9744268869936,0.0024254891112298685,15.0,0.002277536272557645,7492.00621,1.1375543931668086,0,0,0.0,0,0.0,6817.49729101,860.4605183358078,3.5337171244886156e-07,0.000151835751503843,0.0,30.66686796307659,8999999999,469,12,1320132.53762,200.443315934208,110011.044801667,16.70360966118405,39928.109756,6.062514550930185,1320132.53762,200.443315934208,0.08558078923485775,0.13759933176363187,0.11474446293223133
