date,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-02-10,1614335408,1445,1952969,1351.5356401384101,1519452.4401849662,787809416.451903,0.0750213804759123,0.018429873907243727,0.043792922518999994,0.010758240316758842,32.48425774607001,7.980135401836531,6565078.47043253,16904.0222456185,99.75464366160179,4152.669499490485,16904.0222456185,4152.669499490485,0.0011121538924605448,0.245661620598426,,-36.03145618070295,6185143.761909635,18556688.28427362,6185143.761909635,433,7964,0.06970382280179567,0.0925374600712935,0.08670316483563446
2015-02-11,1614335408,1436,2480401,1727.29874651811,1436819.3218262703,806313522.8809191,0.0690119689381596,0.015988230555089324,0.060658556149,0.014052967851389438,43.684576337855,10.120549941371534,6719279.35734099,16776.4609669696,98.73406997976049,3886.6580676566296,16776.4609669696,3886.6580676566296,0.001055479132378727,0.231673299589758,,-36.731499415726574,6201920.222876605,18557118.980859417,6201920.222876605,633,9984,0.06952037755961317,0.09269334593383996,0.08695934396648722
2015-02-12,1614335408,1433,3028885,2113.66713189114,1525321.3065021592,773324283.441731,0.0750462471622625,0.01840751511420028,0.048718678937,0.011949828975960508,42.025898410867,10.308208463952157,6444369.02868109,16715.9732343953,98.1136383950218,4100.132139791096,16715.9732343953,4100.132139791096,0.001101980095265925,0.24528228672647898,,-19.375838144229924,6218636.196111,18557549.01186789,6218636.196111,560,9741,0.06970370672060609,0.08779292626610212,0.08686727913580873
2015-02-13,1614335408,1411,2755598,1952.9397590361398,1582673.5794660605,773636971.0453581,0.0792951645640507,0.020127815454678365,0.07,0.0177683858728789,48.528640713198996,12.318223058263156,6446974.75871132,16434.977783654398,96.210078822353,4171.757529602336,16434.977783654398,4171.757529602336,0.0010730430280537703,0.25383408389827,,14.232243063340142,6235071.173894655,18557971.792200964,6235071.173894655,612,9234,0.06969126243327202,0.06616378024150475,0.08687552400999113
2015-02-14,1614335408,1447,2533159,1750.6281962681398,1734252.0245658192,776452149.667588,0.06791947636287,0.018840577163999596,0.04,0.01109583181315532,37.084034094127,10.286955131543774,6470434.58056323,16833.3386076852,98.2767503809152,4669.4973511192275,16833.3386076852,4669.4973511192275,0.0010767312670952624,0.27739579532888303,,3.837236320789209,6251904.51250234,18558406.018087164,6251904.51250234,546,9014,0.07007637681507849,0.05914737128358667,0.08707113603864347
2015-02-15,1614335408,1465,2376262,1622.0218430034101,1581938.6158107417,801398689.5392491,0.0725867374102089,0.01831697822172962,0.05684133215,0.014343687018218513,43.769802658356,11.045137867702968,6678322.41282708,17020.4987586509,99.099638865483,4295.056042033054,17020.4987586509,4295.056042033054,0.0010763514248977202,0.252346074162488,,-8.977321710476549,6268925.01126099,18558845.07797412,6268925.01126099,603,9110,0.06982170427598547,0.06124833761331695,0.08783153509950709
2015-02-16,1614335408,1348,2006969,1488.84940652819,1566768.833589615,795853942.179525,0.0662443692410479,0.01651499426803786,0.04,0.00997216485400812,30.406165481641,7.580382369029381,6632116.18482938,15643.5113296984,90.85558721835889,3899.9918468824058,15643.5113296984,3899.9918468824058,0.0010604799386323817,0.249304121350203,,2.3648786009878435,6284568.522590688,18559249.434800867,6284568.522590688,459,7977,0.06928886156229297,0.05645463615209938,0.08744019211078218
2015-02-17,1614335409,1463,2168212,1482.03144224197,1592677.319095419,729581080.898838,0.0616619911904918,0.015584748895942043,0.031432750584999995,0.007944464904849487,33.975757145961,8.587196641664068,6079842.34082365,16954.5545587372,98.2050265971332,4285.175848833325,16954.5545587372,4285.175848833325,0.0010362395090590304,0.25274482051343805,,-1.347859561699082,6301523.077149427,18559688.567483965,6301523.077149427,551,9373,0.06931346141920197,0.0557275145344841,0.0874300803727372
2015-02-18,1614335409,1441,2714020,1883.4281748785602,1534032.716906679,697075968.679389,0.0679760029618289,0.0165042978575695,0.043631752322000006,0.010593612524913495,46.087730008120005,11.189913947432123,5808966.40566158,16674.364989273,96.3272084612869,4048.4682002165496,16674.364989273,4048.4682002165496,0.0010288171601402667,0.24279594472239396,,-5.56067498313166,6318197.4421387,18560120.745965093,6318197.4421387,678,9551,0.06934737313743486,0.05618895507814242,0.08716704405045338
2015-02-19,1614335409,1442,2429178,1684.5894590845999,1807940.7344703306,756719362.6726769,0.0642254028591588,0.01832964258280715,0.04,0.01141582100964168,35.580873183974,10.154621990875166,6305994.68893897,16662.6890541894,96.00656334670929,4755.456894548545,16662.6890541894,4755.456894548545,0.0011799432162478086,0.285395525241042,,19.53185921526284,6334860.131192889,18560552.9157645,6334860.131192889,554,9789,0.07051516131179354,0.06194196411511139,0.08973731932362021
